date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
30.08.2019;0.0;4800;18744,19;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
30.08.2019;0.0;265050;57780,9;Мозамбик;Mozambique;Африка;Восточная Африка;азотные;Mozambique;[-14.4237517822,38.343984675]
30.08.2019;0.0;306000;85547,25;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
30.08.2019;0.0;1235000;269230;Мозамбик;Mozambique;Африка;Восточная Африка;азотные;Mozambique;[-14.4237517822,38.343984675]
30.08.2019;0.0;8403373;3050948,05;Бельгия;Belgium;Европа;Западная Европа;сложные и комплексные;Belgium;[50.6723444731,4.58010636415]
30.08.2019;0.0;20678;8604,21;Сербия;Serbia;Европа;Южная Европа;калийные;Serbia;[44.2324489699,20.7914869277]
30.08.2019;0.0;84000;19995;Израиль;Israel;Азия;Западная Азия;азотные;Israel;[31.400520343,34.6743804]
30.08.2019;0.0;51200;12187,2;Израиль;Israel;Азия;Западная Азия;азотные;Israel;[31.400520343,34.6743804]
30.08.2019;0.0;514950;162294,34;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
30.08.2019;0.0;4307400;892476,21;Швеция;Sweden;Европа;Северная Европа;азотные;Sweden;[62.4677283813,16.8622149998]
30.08.2019;0.0;120335,2;131846;Соединенные Штаты;United States;Америка;Северная Америка;сложные и комплексные;United States;[39.383536885,-98.9051057934]
30.08.2019;0.0;20726;7578,26;Польша;Poland;Европа;Восточная Европа;калийные;Poland;[52.208580543,19.3189525919]
30.08.2019;0.0;100000;46443,97;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
30.08.2019;0.0;18835;4685,87;Узбекистан;Uzbekistan;Азия;Южная часть Центральной Азии;азотные;Uzbekistan;[41.7694206128,63.1208967064]
30.08.2019;0.0;8694000;3373272;Туркмения;Turkmenistan;Азия;Южная часть Центральной Азии;сложные и комплексные;Turkmenistan;[39.2054565384,58.9742872517]
30.08.2019;0.0;21363460;5943300,74;Бразилия;Brazil;Америка;Южная Америка;калийные;Brazil;[-10.8279176405,-52.8483115037]
30.08.2019;0.0;67400;21568;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
30.08.2019;0.0;11;27;Узбекистан;Uzbekistan;Азия;Южная часть Центральной Азии;сложные и комплексные;Uzbekistan;[41.7694206128,63.1208967064]
30.08.2019;0.0;10640000;3782941,83;Польша;Poland;Европа;Восточная Европа;сложные и комплексные;Poland;[52.208580543,19.3189525919]
30.08.2019;0.0;75700;19303,5;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
30.08.2019;0.0;22000;9097,02;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
30.08.2019;0.0;6300;7244,06;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
30.08.2019;0.0;1008000;327408,74;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
30.08.2019;0.0;2506130;586434,42;Перу;Peru;Америка;Южная Америка;сложные и комплексные;Peru;[-10.2727258252,-76.154316298]
30.08.2019;0.0;4626,2;1044,56;Молдова, Республика;Moldova;Европа;Восточная Европа;азотные;Moldova;[47.2023352434,28.4649474852]
30.08.2019;0.0;3920000;1460407,77;Польша;Poland;Европа;Восточная Европа;сложные и комплексные;Poland;[52.208580543,19.3189525919]
30.08.2019;0.0;66611;13531,36;Венгрия;Hungary;Европа;Восточная Европа;калийные;Hungary;[47.1652797826,19.4121477714]
30.08.2019;0.0;183600;51328,35;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
30.08.2019;0.0;20000000;4900000;Румыния;Romania;Европа;Восточная Европа;сложные и комплексные;Romania;[45.810947616,25.0748052568]
30.08.2019;0.0;268800;87295,68;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
30.08.2019;0.0;42000;12899,44;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
30.08.2019;0.0;22100;4999,62;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
30.08.2019;0.0;738300;233312,2;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
30.08.2019;0.0;2203370;515588,58;Перу;Peru;Америка;Южная Америка;сложные и комплексные;Peru;[-10.2727258252,-76.154316298]
30.08.2019;0.0;5040;21822,07;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
30.08.2019;0.0;2228000;635478,67;Эстония;Estonia;Европа;Северная Европа;сложные и комплексные;Estonia;[58.86386508,24.7963122]
30.08.2019;0.0;38480;8935,82;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
30.08.2019;0.0;41600;17105,04;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
31.08.2019;0.0;40000;17807,27;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
31.08.2019;0.0;3892080;1097566,56;Китай;China;Азия;Восточная Азия;сложные и комплексные;China;[32.3090710392,104.1375955]
31.08.2019;0.0;550000;142285,82;Финляндия;Finland;Европа;Северная Европа;азотные;Finland;[64.1287711419,25.7296255933]
31.08.2019;0.0;1757500;503204,86;Эстония;Estonia;Европа;Северная Европа;сложные и комплексные;Estonia;[58.86386508,24.7963122]
31.08.2019;0.0;480000;159878,4;Аргентина;Argentina;Америка;Южная Америка;сложные и комплексные;Argentina;[-35.9170539154,-65.1049954678]
31.08.2019;0.0;20000;6166,37;Украина;Ukraine;Европа;Восточная Европа;фосфорные;Ukraine;[49.0653791023,31.3445241453]
31.08.2019;0.0;719000;296961,38;Франция;France;Европа;Западная Европа;сложные и комплексные;France;[46.6698416788,2.12577975223]
