date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
27.08.2019;1.0;40000;7098;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
27.08.2019;0.0;16500000;3998355,4;Бразилия;Brazil;Америка;Южная Америка;азотные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;67500000;18189278,5;Бразилия;Brazil;Америка;Южная Америка;калийные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;28160000;7587077,4;Бразилия;Brazil;Америка;Южная Америка;калийные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;1.0;22500;4714,62;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
27.08.2019;1.0;110000;23049,25;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
27.08.2019;0.0;90000;16740;Либерия;Liberia;Африка;Западная Африка;азотные;Liberia;[6.32996015995,-9.34876519206]
27.08.2019;0.0;6759500;1825065;Перу;Peru;Америка;Южная Америка;сложные и комплексные;Peru;[-10.2727258252,-76.154316298]
27.08.2019;0.0;13744240;4149719,46;Бразилия;Brazil;Америка;Южная Америка;калийные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;20660;8631,64;Сербия;Serbia;Европа;Южная Европа;калийные;Serbia;[44.2324489699,20.7914869277]
27.08.2019;0.0;2192300;658618,78;Бразилия;Brazil;Америка;Южная Америка;калийные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;1.0;8750;1833,46;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
